,price,Address,area,Bedrooms,Bathrooms,Status,neworold,type_of_building,bhk
0,224.00000000000003,"Chembur, Mumbai - Harbour Line, Maharashtra",629.0,2.0,2.0,Under Construction,New Property,Flat,1
1,350.0,"Chembur, Mumbai - Harbour Line, Maharashtra",974.0,3.0,2.0,Under Construction,New Property,Flat,2
2,317.0,"Ghatkopar East, Mumbai - Central Line, Maharashtra",968.0,3.0,3.0,Under Construction,New Property,Flat,2
3,187.0,other,629.0,2.0,2.0,Ready to Move,New Property,Flat,1
4,135.0,other,1090.0,2.0,2.0,Under Construction,New Property,Flat,2
5,130.0,other,630.0,2.0,2.0,Under Construction,New Property,Flat,1
6,207.0,other,1188.0,2.0,2.0,Under Construction,New Property,Flat,2
7,229.0,other,968.0,3.0,3.0,Under Construction,New Property,Flat,2
8,170.0,other,820.0,2.0,2.0,Under Construction,New Property,Flat,2
9,810.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3260.0,3.0,3.0,Ready to Move,Resale,Flat,7
10,460.0,other,2500.0,4.0,4.0,Under Construction,New Property,Flat,5
11,340.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1085.0,3.0,3.0,Under Construction,New Property,Flat,2
12,650.0,other,1500.0,2.0,2.0,Ready to Move,Resale,Flat,3
13,203.0,other,891.0,3.0,3.0,Under Construction,New Property,Flat,2
14,250.0,other,800.0,2.0,2.0,Ready to Move,Resale,Flat,2
15,210.0,other,1020.0,3.0,3.0,Under Construction,New Property,Flat,2
16,1020.0,other,3180.0,4.0,4.0,Ready to Move,New Property,Flat,6
17,225.0,other,1000.0,3.0,3.0,Ready to Move,Resale,Flat,2
18,190.0,other,1058.0,2.0,2.0,Ready to Move,New Property,Flat,2
19,155.0,other,875.0,2.0,2.0,Ready to Move,Resale,Flat,2
20,250.0,other,1500.0,3.0,3.0,Ready to Move,Resale,Flat,3
21,225.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1600.0,3.0,3.0,Under Construction,New Property,Flat,3
22,550.0,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",2430.0,4.0,4.0,Ready to Move,Resale,Flat,5
23,150.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",688.0,2.0,2.0,Under Construction,New Property,Flat,1
24,239.0,other,950.0,2.0,2.0,Ready to Move,Resale,Flat,2
25,250.0,other,900.0,2.0,2.0,Ready to Move,Resale,Flat,2
26,690.0,other,2135.0,4.0,5.0,Ready to Move,Resale,Flat,4
27,97.5,other,1412.0,3.0,3.0,Ready to Move,New Property,Flat,3
28,255.0,other,1450.0,3.0,3.0,Ready to Move,Resale,Flat,3
29,398.0,other,1765.0,3.0,2.0,Ready to Move,Resale,Flat,4
30,475.0,other,1818.0,3.0,3.0,Ready to Move,Resale,Flat,4
31,340.0,other,1355.0,3.0,3.0,Ready to Move,Resale,Flat,3
32,463.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1415.0,3.0,3.0,Under Construction,New Property,Flat,3
33,86.0,other,1045.0,2.0,2.0,Ready to Move,New Property,Flat,2
34,200.0,other,965.0,2.0,2.0,Ready to Move,Resale,Flat,2
35,335.0,other,2560.0,3.0,3.0,Ready to Move,New Property,Flat,5
36,625.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1500.0,3.0,3.0,Ready to Move,Resale,Flat,3
37,470.0,other,2195.0,3.0,4.0,Ready to Move,Resale,Flat,4
38,185.0,other,1175.0,2.0,2.0,Under Construction,New Property,Flat,2
39,280.0,other,983.0,2.0,2.0,Ready to Move,Resale,Flat,2
40,125.0,other,1031.0,2.0,2.0,Ready to Move,Resale,Flat,2
41,155.0,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",1255.0,2.0,2.0,Under Construction,New Property,Flat,3
42,365.0,other,1600.0,3.0,3.0,Ready to Move,Resale,Flat,3
43,445.0,other,2500.0,4.0,4.0,Ready to Move,Resale,Flat,5
44,48.5,other,950.0,2.0,2.0,Under Construction,New Property,Flat,2
45,405.99999999999994,other,2800.0,4.0,4.0,Under Construction,New Property,Flat,6
46,260.0,other,1350.0,2.0,2.0,Ready to Move,Resale,Flat,3
47,415.0,other,2205.0,3.0,3.0,Ready to Move,Resale,Bungalow,4
48,600.0,other,1976.0,3.0,2.0,Under Construction,New Property,Flat,4
49,94.2,other,1060.0,2.0,3.0,Ready to Move,New Property,Flat,2
50,152.0,other,1084.0,2.0,2.0,Ready to Move,New Property,Flat,2
51,264.0,other,1650.0,3.0,3.0,Under Construction,New Property,Flat,3
52,146.0,other,913.0,2.0,2.0,Under Construction,New Property,Flat,2
53,325.0,other,1034.0,3.0,3.0,Under Construction,New Property,Flat,2
54,275.0,other,1260.0,3.0,3.0,Ready to Move,Resale,Flat,3
55,175.0,other,1175.0,2.0,2.0,Under Construction,New Property,Flat,2
56,170.0,other,1100.0,2.0,2.0,Under Construction,New Property,Flat,2
57,1200.0,other,3000.0,6.0,4.0,Ready to Move,Resale,Flat,6
58,300.0,other,1094.0,3.0,3.0,Under Construction,New Property,Flat,2
59,270.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1550.0,3.0,3.0,Under Construction,Resale,Flat,3
60,153.0,other,1181.0,2.0,2.0,Under Construction,New Property,Flat,2
61,360.0,other,875.0,2.0,2.0,Under Construction,New Property,Flat,2
62,630.0,other,1669.0,3.0,3.0,Under Construction,New Property,Flat,3
63,134.0,other,1035.0,2.0,2.0,Under Construction,New Property,Flat,2
64,555.0,other,1775.0,3.0,3.0,Under Construction,New Property,Flat,4
65,490.0,other,2252.0,3.0,3.0,Under Construction,Resale,Flat,5
66,225.0,other,1390.0,2.0,2.0,Ready to Move,Resale,Flat,3
67,187.0,other,1014.0,2.0,2.0,Under Construction,New Property,Flat,2
68,500.0,other,2000.0,3.0,3.0,Ready to Move,Resale,Flat,4
69,212.0,other,1400.0,2.0,2.0,Ready to Move,Resale,Flat,3
70,149.0,other,1350.0,3.0,3.0,Under Construction,New Property,Flat,3
71,128.0,other,1545.0,3.0,3.0,Under Construction,New Property,Flat,3
72,96.0,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1055.0,2.0,2.0,Under Construction,New Property,Flat,2
73,550.0,other,1866.0,4.0,6.0,Under Construction,New Property,Flat,4
74,137.99999999999997,other,1070.0,2.0,2.0,Under Construction,New Property,Flat,2
75,168.0,other,1144.0,2.0,2.0,Under Construction,Resale,Flat,2
76,117.0,other,1200.0,3.0,3.0,Under Construction,New Property,Flat,2
77,106.0,other,690.0,2.0,2.0,Under Construction,New Property,Flat,1
78,300.0,"Chembur, Mumbai - Harbour Line, Maharashtra",1000.0,3.0,3.0,Under Construction,New Property,Flat,2
79,305.0,other,950.0,2.0,2.0,Under Construction,New Property,Flat,2
80,104.0,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1024.0,2.0,2.0,Under Construction,New Property,Flat,2
81,340.0,other,1019.0,3.0,3.0,Under Construction,New Property,Flat,2
82,388.0,other,2377.0,3.0,3.0,Under Construction,New Property,Flat,5
83,290.0,other,1377.0,3.0,2.0,Under Construction,Resale,Flat,3
84,254.0,other,1507.0,3.0,3.0,Under Construction,New Property,Flat,3
85,360.0,other,2250.0,3.0,4.0,Under Construction,New Property,Flat,4
86,138.99999999999997,other,1200.0,2.0,2.0,Under Construction,New Property,Flat,2
87,90.0,other,1071.0,2.0,2.0,Under Construction,New Property,Flat,2
88,170.0,other,1100.0,2.0,2.0,Under Construction,Resale,Flat,2
89,278.0,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",1600.0,3.0,3.0,Under Construction,New Property,Flat,3
90,170.0,other,1190.0,2.0,2.0,Under Construction,New Property,Flat,2
91,180.0,other,950.0,2.0,2.0,Under Construction,New Property,Flat,2
92,296.0,other,1600.0,3.0,2.0,Under Construction,New Property,Flat,3
93,564.0,other,2068.0,3.0,3.0,Ready to Move,New Property,Flat,4
94,3400.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",8000.0,5.0,6.0,Under Construction,New Property,Flat,16
95,267.0,other,2017.0,3.0,3.0,Under Construction,New Property,Flat,4
96,600.0,other,1800.0,3.0,3.0,Ready to Move,Resale,Flat,4
97,335.0,other,1540.0,3.0,3.0,Under Construction,New Property,Flat,3
98,540.0,other,3018.0,4.0,5.0,Under Construction,New Property,Flat,6
99,290.0,other,1800.0,3.0,3.0,Under Construction,New Property,Flat,4
100,82.0,other,1062.0,2.0,2.0,Under Construction,New Property,Flat,2
101,2300.0,other,4600.0,4.0,4.0,Under Construction,New Property,Flat,9
102,181.0,other,1200.0,2.0,2.0,Under Construction,New Property,Flat,2
103,290.0,other,894.0,2.0,2.0,Under Construction,New Property,Flat,2
104,730.0,other,2410.0,4.0,4.0,Under Construction,New Property,Flat,5
105,144.0,other,1050.0,2.0,2.0,Under Construction,New Property,Flat,2
106,77.3,other,1031.0,2.0,2.0,Under Construction,New Property,Flat,2
107,81.7,other,974.0,2.0,2.0,Under Construction,New Property,Flat,2
108,83.0,other,1013.0,2.0,2.0,Under Construction,New Property,Flat,2
109,235.0,other,850.0,2.0,2.0,Under Construction,New Property,Flat,2
110,810.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",2340.0,4.0,4.0,Under Construction,New Property,Flat,5
111,78.0,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1013.0,2.0,2.0,Under Construction,New Property,Flat,2
112,335.0,other,1450.0,3.0,3.0,Under Construction,New Property,Flat,3
113,150.0,other,676.0,2.0,2.0,Under Construction,New Property,Flat,1
114,82.8,other,974.0,2.0,2.0,Under Construction,New Property,Flat,2
115,184.0,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Suburbs, Maharashtra",990.0,2.0,2.0,Under Construction,New Property,Flat,2
116,225.0,other,1000.0,2.0,2.0,Under Construction,New Property,Flat,2
117,84.6,other,1045.0,2.0,2.0,Under Construction,New Property,Flat,2
118,221.0,other,1330.0,2.0,2.0,Under Construction,New Property,Flat,3
119,126.0,other,1100.0,2.0,2.0,Under Construction,New Property,Flat,2
120,55.8,other,915.0,2.0,2.0,Under Construction,New Property,Flat,2
121,235.0,other,1210.0,2.0,3.0,Under Construction,New Property,Flat,2
122,320.0,other,961.0,2.0,3.0,Under Construction,New Property,Flat,2
123,383.0,other,1600.0,3.0,3.0,Under Construction,New Property,Flat,3
124,175.0,other,1050.0,2.0,2.0,Under Construction,New Property,Flat,2
125,145.0,other,900.0,2.0,2.0,Under Construction,Resale,Flat,2
126,201.0,other,1131.0,2.0,2.0,Under Construction,New Property,Flat,2
127,72.0,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",850.0,2.0,2.0,Under Construction,New Property,Flat,2
128,144.0,other,1000.0,2.0,2.0,Under Construction,New Property,Flat,2
129,151.0,other,727.0,2.0,2.0,Under Construction,New Property,Flat,1
130,350.0,other,806.0,2.0,2.0,Under Construction,New Property,Flat,2
131,465.0,other,1750.0,3.0,3.0,Ready to Move,Resale,Flat,3
132,150.0,other,1500.0,2.0,2.0,Under Construction,Resale,Flat,3
133,136.00000000000003,other,910.0,2.0,2.0,Under Construction,New Property,Flat,2
134,185.0,other,1000.0,2.0,2.0,Under Construction,Resale,Flat,2
135,85.0,other,974.0,2.0,2.0,Under Construction,New Property,Flat,2
136,250.0,other,800.0,2.0,2.0,Under Construction,New Property,Flat,2
137,600.0,other,1316.0,3.0,3.0,Under Construction,New Property,Flat,3
138,280.0,other,1513.0,3.0,3.0,Ready to Move,Resale,Flat,3
139,650.0,other,2300.0,4.0,5.0,Under Construction,Resale,Flat,5
140,120.0,other,860.0,2.0,2.0,Under Construction,New Property,Flat,2
141,655.9999999999999,other,1914.0,3.0,3.0,Under Construction,New Property,Flat,4
142,500.0,other,2303.0,3.0,3.0,Under Construction,Resale,Flat,5
143,289.0,other,1700.0,3.0,3.0,Under Construction,New Property,Flat,3
144,180.0,other,1157.0,2.0,2.0,Under Construction,New Property,Flat,2
145,550.0,other,1500.0,3.0,3.0,Under Construction,New Property,Flat,3
146,210.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
147,126.0,other,925.0,2.0,2.0,Under Construction,New Property,Flat,2
148,93.6,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",585.0,2.0,2.0,Under Construction,New Property,Flat,1
149,175.0,other,1075.0,2.0,2.0,Under Construction,New Property,Flat,2
150,92.2,other,1160.0,2.0,2.0,Under Construction,New Property,Flat,2
151,151.0,other,764.0,2.0,2.0,Under Construction,New Property,Flat,2
152,185.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",667.0,2.0,2.0,Under Construction,New Property,Flat,1
153,195.0,other,1030.0,2.0,2.0,Under Construction,New Property,Flat,2
154,119.0,other,1060.0,2.0,2.0,Under Construction,New Property,Flat,2
155,244.0,other,980.0,3.0,3.0,Under Construction,New Property,Flat,2
156,290.0,other,1670.0,3.0,3.0,Under Construction,Resale,Flat,3
157,280.0,other,1200.0,2.0,2.0,Under Construction,New Property,Flat,2
158,225.0,other,1250.0,3.0,3.0,Under Construction,New Property,Flat,2
159,265.0,other,1050.0,2.0,2.0,Ready to Move,New Property,Flat,2
160,180.0,other,998.0,2.0,2.0,Ready to Move,Resale,Flat,2
161,310.0,other,1156.0,2.0,2.0,Ready to Move,Resale,Flat,2
162,205.0,other,1350.0,2.0,2.0,Ready to Move,Resale,Flat,3
163,500.0,other,1400.0,3.0,3.0,Ready to Move,Resale,Flat,3
164,330.0,other,1000.0,2.0,2.0,Ready to Move,Resale,Flat,2
165,137.00000000000003,other,960.0,2.0,2.0,Under Construction,New Property,Flat,2
166,175.0,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",900.0,2.0,2.0,Ready to Move,Resale,Flat,2
167,470.0,other,1900.0,3.0,3.0,Ready to Move,New Property,Flat,4
168,160.0,other,1100.0,3.0,3.0,Ready to Move,New Property,Bungalow,2
169,210.0,other,1307.0,2.0,2.0,Ready to Move,Resale,Flat,3
170,265.0,other,1100.0,2.0,2.0,Ready to Move,Resale,Flat,2
171,350.0,other,1200.0,3.0,3.0,Ready to Move,New Property,Flat,2
172,285.0,other,1680.0,3.0,3.0,Ready to Move,Resale,Flat,3
173,250.0,other,1300.0,3.0,3.0,Ready to Move,New Property,Flat,3
174,220.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
175,550.0,other,2275.0,5.0,4.0,Ready to Move,Resale,Flat,5
176,265.0,other,1360.0,3.0,2.0,Ready to Move,Resale,Flat,3
177,225.0,other,850.0,2.0,2.0,Ready to Move,Resale,Flat,2
178,290.0,other,1430.0,3.0,3.0,Ready to Move,Resale,Flat,3
